Run,Full,Minimal
334,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
335,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
336,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
337,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
338,"['MCU_SEL', 'MCU']",['MCU_SEL']
339,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
340,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
341,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
342,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
343,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
344,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
345,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
346,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
347,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
348,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
349,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
350,"['MCU_SEL', 'MCU']",['MCU_SEL']
351,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
352,"['MCU_SEL', 'MCU']",['MCU_SEL']
353,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
354,"['MCU_SEL', 'MCU']",['MCU_SEL']
355,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
356,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
357,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
358,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
359,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
360,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
361,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
362,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
363,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
364,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
365,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
366,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
367,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
368,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
369,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
370,"['MCU_SEL', 'MCU']",['MCU_SEL']
371,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
372,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
373,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
374,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
375,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
376,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
377,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
378,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
379,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
380,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
381,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
382,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
383,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
384,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
385,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
386,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
387,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
388,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
389,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
390,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
391,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
392,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
393,"['MCU_SEL', 'MCU']",['MCU_SEL']
394,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
