Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,Z
5380000.0,20000.0,0.0023,46.0,12420.0,1.1613939678801895e-08,0.9999999833457393,1.0
5400000.0,20000.0,0.0023,46.0,12466.0,1.436845480416547e-08,0.999999979368167,1.0
5420000.0,20000.0,0.0023,46.0,12512.0,1.7738797657278223e-08,0.9999999744944978,1.0
5440000.0,20000.0,0.0023,46.0,12558.0,2.185399868616959e-08,0.9999999685353748,1.0
5460000.0,20000.0,0.0023,46.0,12604.0,2.6868236299228896e-08,0.9999999612641789,1.0
5480000.0,20000.0,0.0023,46.0,12650.0,3.29653499859176e-08,0.9999999524102687,1.0
5500000.0,20000.0,0.0023,46.0,12696.0,4.036409135231057e-08,0.9999999416510967,1.0
5520000.0,20000.0,0.0023,46.0,12742.0,4.932421567518825e-08,0.9999999286030499,1.0
5540000.0,20000.0,0.0023,46.0,12788.0,6.015353674939449e-08,0.9999999128108201,1.0
5560000.0,20000.0,0.0023,46.0,12834.0,7.321607905400332e-08,0.9999998937350973,1.0
5580000.0,20000.0,0.0023,46.0,12880.0,8.894147682843633e-08,0.999999870738357,1.0
5600000.0,20000.0,0.0023,46.0,12926.0,1.0783578909842761e-07,0.9999998430684697,1.0
5620000.0,20000.0,0.0023,46.0,12972.0,1.3049391678339493e-07,0.9999998098398502,1.0
5640000.0,20000.0,0.0023,46.0,13018.0,1.5761383009980914e-07,0.9999997700118173,1.0
5660000.0,20000.0,0.0023,46.0,13064.0,1.9001283651804163e-07,0.9999997223637981,1.0
5680000.0,20000.0,0.0023,46.0,13110.0,2.286461426074496e-07,0.999999665466983,1.0
5700000.0,20000.0,0.0023,46.0,13156.0,2.7462799122478146e-07,0.9999995976519852,1.0
5720000.0,20000.0,0.0023,46.0,13202.0,3.292556807199685e-07,0.9999995169720141,1.0
5740000.0,20000.0,0.0023,46.0,13248.0,3.940368052073573e-07,0.9999994211610311,1.0
5760000.0,20000.0,0.0023,46.0,13294.0,4.707200859224183e-07,0.9999993075862926,1.0
5780000.0,20000.0,0.0023,46.0,13340.0,5.61330194359756e-07,0.9999991731946373,1.0
5800000.0,20000.0,0.0023,46.0,13386.0,6.682070106612649e-07,0.9999990144518125,1.0
5820000.0,20000.0,0.0023,46.0,13432.0,7.940497891252104e-07,0.9999988272740777,1.0
5840000.0,20000.0,0.0023,46.0,13478.0,9.419667505890219e-07,0.9999986069512392,1.0
5860000.0,20000.0,0.0023,46.0,13524.0,1.1155306564724697e-06,0.999998348060228,1.0
5880000.0,20000.0,0.0023,46.0,13570.0,1.3188409663407926e-06,0.9999980443682343,1.0
5900000.0,20000.0,0.0023,46.0,13616.0,1.5565932220504379e-06,0.9999976887243508,1.0
5920000.0,20000.0,0.0023,46.0,13662.0,1.8341563510094445e-06,0.9999972729385935,1.0
5940000.0,20000.0,0.0023,46.0,13708.0,2.157658623364531e-06,0.9999967876470878,1.0
5960000.0,20000.0,0.0023,46.0,13754.0,2.5340830515016096e-06,0.9999962221621213,1.0
5980000.0,20000.0,0.0023,46.0,13800.0,2.971373064590161e-06,0.9999955643056839,1.0
6000000.0,20000.0,0.0023,46.0,13846.0,3.4785493420730277e-06,0.9999948002250222,1.0
6020000.0,20000.0,0.0023,46.0,13892.0,4.065838738208108e-06,0.9999939141886514,1.0
6040000.0,20000.0,0.0023,46.0,13938.0,4.744816281000187e-06,0.9999928883611762,1.0
6060000.0,20000.0,0.0023,46.0,13984.0,5.528561273107699e-06,0.9999917025551829,1.0
6080000.0,20000.0,0.0023,46.0,14030.0,6.431828572405105e-06,0.9999903339583802,1.0
6100000.0,20000.0,0.0023,46.0,14076.0,7.471236173687291e-06,0.999988756834077,1.0
6120000.0,20000.0,0.0023,46.0,14122.0,8.665470256206967e-06,0.9999869421929998,1.0
6140000.0,20000.0,0.0023,46.0,14168.0,1.0035508900941952e-05,0.9999848574343769,1.0
6160000.0,20000.0,0.0023,46.0,14214.0,1.1604865719200035e-05,0.9999824659541389,1.0
6180000.0,20000.0,0.0023,46.0,14260.0,1.3399854665198226e-05,0.9999797267180099,1.0
6200000.0,20000.0,0.0023,46.0,14306.0,1.5449877332285868e-05,0.9999765937972118,1.0
6220000.0,20000.0,0.0023,46.0,14352.0,1.778773405571706e-05,0.999973015864432,1.0
6240000.0,20000.0,0.0023,46.0,14398.0,2.0449960158510842e-05,0.9999689356476757,1.0
6260000.0,20000.0,0.0023,46.0,14444.0,2.3477188684136202e-05,0.9999642893395795,1.0
6280000.0,20000.0,0.0023,46.0,14490.0,2.6914540961635743e-05,0.9999590059597347,1.0
6300000.0,20000.0,0.0023,46.0,14536.0,3.081204633721374e-05,0.9999530066675746,1.0
6320000.0,20000.0,0.0023,46.0,14582.0,3.522509238924463e-05,0.9999462040233661,1.0
6340000.0,20000.0,0.0023,46.0,14628.0,4.021490691090615e-05,0.9999385011948869,1.0
6360000.0,20000.0,0.0023,46.0,14674.0,4.584907290689854e-05,0.99992979110739,1.0
6380000.0,20000.0,0.0023,46.0,14720.0,5.220207779322343e-05,0.9999199555345359,1.0
6400000.0,20000.0,0.0023,46.0,14766.0,5.935589792362812e-05,0.9999088641280404,1.0
6420000.0,20000.0,0.0023,46.0,14812.0,6.740061948397235e-05,0.9998963733838957,1.0
