Time (hr),dose,SRAM_SEL,MCU_SEFI,MCU_SEL,LREG_SEGR,SRAM_TID,MCU_TID,LREG_TID,WDOG_TID
2.46667,1.3917523643443638e-07,5.79281087071034e-07,6.278383643999676e-09,6.041627297223983e-07,1.1009559013236669e-09,0.0,0.0,0.0,0.0
2.53333,1.5964314469511684e-07,6.548191858082157e-07,7.083242884793817e-09,6.831720030505552e-07,1.240083809934515e-09,0.0,0.0,0.0,0.0
2.59972,1.856648010148064e-07,7.483958159023245e-07,8.077577370005515e-09,7.810456104558587e-07,1.409613668680705e-09,0.0,0.0,0.0,0.0
2.66639,2.180250398788182e-07,8.618405355553608e-07,9.279687665627144e-09,8.997058771947286e-07,1.612124763054303e-09,0.0,0.0,0.0,0.0
2.73333,2.576446960221943e-07,9.972399944453174e-07,1.07104097564361e-08,1.0413442058388149e-06,1.8504833824825826e-09,0.0,0.0,0.0,0.0
2.8,3.0551823698127846e-07,1.1567164035500547e-06,1.2390763386700865e-08,1.2081895143374393e-06,2.1274717402503485e-09,0.0,0.0,0.0,0.0
2.86639,3.6235771157402224e-07,1.3412931084665135e-06,1.433007953078596e-08,1.4013211788589714e-06,2.443875297639735e-09,0.0,0.0,0.0,0.0
2.93306,4.290951716885007e-07,1.5526129075895378e-06,1.6544159848194617e-08,1.6224665040893382e-06,2.8015105029356478e-09,0.0,0.0,0.0,0.0
3.0,5.064752007794405e-07,1.7916301509770623e-06,1.9041550541485923e-08,1.8726321571781214e-06,3.2010031849321514e-09,0.0,0.0,0.0,0.0
3.06667,5.947102632450134e-07,2.057672176334675e-06,2.1813880817714904e-08,2.1511211235188916e-06,3.6403192182845336e-09,0.0,0.0,0.0,0.0
3.13333,6.939445708080444e-07,2.349980397152069e-06,2.485208094314887e-08,2.4571451681074212e-06,4.1174218089416795e-09,0.0,0.0,0.0,0.0
3.19972,8.035402584500331e-07,2.665682738816501e-06,2.8125372385866003e-08,2.7877018332962292e-06,4.627014576117087e-09,0.0,0.0,0.0,0.0
3.26639,9.227794614200597e-07,3.00196478744364e-06,3.160393470847462e-08,3.139847074989035e-06,5.164145698127031e-09,0.0,0.0,0.0,0.0
3.33333,1.0505593187062435e-06,3.35520808789245e-06,3.52499625363825e-08,3.5097931177537697e-06,5.722809937420678e-09,0.0,0.0,0.0,0.0
3.4,1.185103502740812e-06,3.7202650790442133e-06,3.9010248010019814e-08,3.892148890483894e-06,6.2948496486076295e-09,0.0,0.0,0.0,0.0
3.46639,1.3238994794482478e-06,4.090392544298998e-06,4.281558628648539e-08,4.279849928622444e-06,6.869910911063851e-09,0.0,0.0,0.0,0.0
3.53306,1.4643858847406665e-06,4.459121627569987e-06,4.6600028709693843e-08,4.666117171571992e-06,7.438359381479748e-09,0.0,0.0,0.0,0.0
3.6,1.6048503289204018e-06,4.822487493368764e-06,5.0323601892034587e-08,5.0467934747768575e-06,7.994607534305655e-09,0.0,0.0,0.0,0.0
3.66667,1.7412012533938192e-06,5.1706290686320374e-06,5.3886167494745096e-08,5.411543518386539e-06,8.524216450036065e-09,0.0,0.0,0.0,0.0
3.73333,1.8721274590381622e-06,5.501040065167138e-06,5.726309859601734e-08,5.757736635751561e-06,9.024092940098116e-09,0.0,0.0,0.0,0.0
3.79972,1.994507048408801e-06,5.806709935912018e-06,6.038376786316831e-08,6.07802273693819e-06,9.484356534203528e-09,0.0,0.0,0.0,0.0
3.86639,2.106256564771875e-06,6.0833313917560835e-06,6.32052400517665e-08,6.367883972451503e-06,9.899242737402825e-09,0.0,0.0,0.0,0.0
3.93333,2.2060280742821913e-06,6.328405011459879e-06,6.570297054671526e-08,6.624697186682896e-06,1.0265663766593857e-08,0.0,0.0,0.0,0.0
4.0,2.29211435857597e-06,6.538494710759509e-06,6.784278835452213e-08,6.844858126766833e-06,1.0579066583368629e-08,0.0,0.0,0.0,0.0
