Time (hr),MJD (days),Altitude (km),Latitude (deg),Longitude (deg),LocalTime (hrs),Alpha (deg),L-shell,Orbit
7.99972,26670.33333333,28164.8,0.001384138,338.17902,6.545268,90.0,5.6199,0
8.06639,26670.33611111,27760.8,0.001410062,338.000858,6.600057,90.0,5.5556,0
8.13333,26670.33888889,27344.34,0.001436347,337.842756,6.656184,90.0,5.4892,0
8.2,26670.34166667,26915.19,0.001463001,337.706105,6.71374,90.0,5.4206,0
8.26639,26670.34444444,26473.14,0.001490034,337.592421,6.772828,90.0,5.3498,0
8.33306,26670.34722222,26017.93,0.001517454,337.503358,6.833557,90.0,5.2768,0
8.4,26670.35,25549.32,0.00154527,337.44073,6.896049,90.0,5.2015,0
8.46667,26670.35277778,25067.03,0.00157349,337.406528,6.960435,90.0,5.1239,0
8.53333,26670.35555556,24570.79,0.001602123,337.402946,7.026863,90.0,5.0439,0
8.59972,26670.35833333,24060.29,0.001631174,337.432409,7.095494,90.0,4.9614,0
8.66639,26670.36111111,23535.21,0.00166065,337.497602,7.166507,90.0,4.8765,0
8.73333,26670.36388889,22995.24,0.001690553,337.601513,7.240101,90.0,4.789,0
8.8,26670.36666667,22440.02,0.001720885,337.747477,7.316498,90.0,4.6989,0
8.86639,26670.36944444,21869.19,0.001751643,337.939228,7.395949,90.0,4.6061,0
8.93306,26670.37222222,21282.36,0.00178282,338.180966,7.478731,90.0,4.5106,0
9.0,26670.375,20679.13,0.001814404,338.477434,7.565162,90.0,4.4122,0
9.06667,26670.37777778,20059.07,0.001846374,338.834012,7.655601,90.0,4.311,0
9.13333,26670.38055556,19421.75,0.001878699,339.25683,7.750455,90.0,4.2068,0
9.15,26670.38125,19259.67,0.001886831,339.373685,7.774912,90.0,4.1803,0
9.16639,26670.38194444,19096.47,0.001894982,339.495233,7.799682,90.0,4.1535,0
9.18333,26670.38263889,18932.15,0.00190315,339.621598,7.824773,90.0,4.1266,0
9.19972,26670.38333333,18766.71,0.001911334,339.752907,7.850194,90.0,4.0995,0
9.21667,26670.38402778,18600.12,0.001919535,339.889295,7.875953,90.0,4.0722,0
9.23306,26670.38472222,18432.39,0.00192775,340.030898,7.90206,90.0,4.0447,0
9.25,26670.38541667,18263.51,0.001935977,340.17786,7.928524,90.0,4.017,0
9.26639,26670.38611111,18093.46,0.001944217,340.330329,7.955355,90.0,3.9891,0
9.28333,26670.38680556,17922.25,0.001952467,340.48846,7.982564,90.0,3.961,0
9.3,26670.3875,17749.86,0.001960725,340.652412,8.010161,90.0,3.9327,0
9.31639,26670.38819444,17576.29,0.00196899,340.822353,8.038157,90.0,3.9042,0
9.33333,26670.38888889,17401.53,0.00197726,340.998455,8.066564,90.0,3.8755,0
9.34972,26670.38958333,17225.57,0.001985532,341.180899,8.095393,90.0,3.8466,0
9.36667,26670.39027778,17048.4,0.001993805,341.369871,8.124658,90.0,3.8175,0
9.38306,26670.39097222,16870.02,0.002002077,341.565568,8.154371,90.0,3.7881,0
9.4,26670.39166667,16690.42,0.002010343,341.768192,8.184546,90.0,3.7586,0
9.41639,26670.39236111,16509.58,0.002018603,341.977954,8.215197,90.0,3.7288,0
9.43333,26670.39305556,16327.51,0.002026852,342.195075,8.246338,90.0,3.6988,0
9.45,26670.39375,16144.19,0.002035087,342.419787,8.277986,90.0,3.6687,0
9.46639,26670.39444444,15959.62,0.002043305,342.652327,8.310155,90.0,3.6383,0
9.48333,26670.39513889,15773.78,0.002051502,342.892948,8.342863,90.0,3.6076,0
9.49972,26670.39583333,15586.68,0.002059674,343.14191,8.376127,90.0,3.5768,0
9.51667,26670.39652778,15398.31,0.002067817,343.399487,8.409966,90.0,3.5457,0
9.53306,26670.39722222,15208.64,0.002075925,343.665965,8.444398,90.0,3.5145,0
9.55,26670.39791667,15017.69,0.002083993,343.941643,8.479443,90.0,3.483,0
9.56639,26670.39861111,14825.45,0.002092015,344.226834,8.515122,90.0,3.4512,0
9.58333,26670.39930556,14631.9,0.002099987,344.521864,8.551458,90.0,3.4193,0
9.6,26670.4,14437.04,0.0021079,344.827077,8.588472,90.0,3.3871,0
9.61639,26670.40069444,14240.86,0.002115748,345.142833,8.626189,90.0,3.3547,0
9.63333,26670.40138889,14043.36,0.002123523,345.469509,8.664634,90.0,3.3221,0
9.64972,26670.40208333,13844.53,0.002131218,345.807499,8.703833,90.0,3.2892,0
9.66667,26670.40277778,13644.38,0.002138821,346.15722,8.743815,90.0,3.2563,0
9.68306,26670.40347222,13442.88,0.002146325,346.519107,8.784607,90.0,3.223,0
9.7,26670.40416667,13240.04,0.002153719,346.893619,8.826241,90.0,3.1894,0
9.71639,26670.40486111,13035.86,0.00216099,347.281239,8.868749,90.0,3.1555,0
9.73333,26670.40555556,12830.33,0.002168127,347.682474,8.912165,90.0,3.1214,0
9.75,26670.40625,12623.46,0.002175115,348.097857,8.956524,90.0,3.0872,0
9.76639,26670.40694444,12415.23,0.002181942,348.527952,9.001863,90.0,3.0532,0
9.78333,26670.40763889,12205.65,0.002188589,348.973353,9.048224,90.0,3.0186,0
9.79972,26670.40833333,11994.72,0.002195041,349.434686,9.095646,90.0,2.9837,0
9.81667,26670.40902778,11782.44,0.002201278,349.912611,9.144174,90.0,2.9486,0
9.83306,26670.40972222,11568.81,0.00220728,350.407827,9.193855,90.0,2.9133,0
9.85,26670.41041667,11353.85,0.002213025,350.921071,9.244738,90.0,2.878,0
9.86639,26670.41111111,11137.54,0.002218488,351.453125,9.296875,90.0,2.842,0
9.88333,26670.41180556,10919.91,0.002223644,352.004814,9.350321,90.0,2.8061,0
9.9,26670.4125,10700.97,0.002228462,352.577014,9.405134,90.0,2.7699,0
9.91639,26670.41319444,10480.71,0.002232913,353.170651,9.461377,90.0,2.7336,0
9.93333,26670.41388889,10259.17,0.002236961,353.786709,9.519114,90.0,2.6971,0
9.94972,26670.41458333,10036.34,0.00224057,354.426231,9.578415,90.0,2.6603,0
9.96667,26670.41527778,9812.265,0.002243697,355.090325,9.639355,90.0,2.6234,0
9.98306,26670.41597222,9586.954,0.002246299,355.780169,9.702011,90.0,2.5863,0
10.0,26670.41666667,9360.436,0.002248327,356.497014,9.766468,90.0,2.549,0
10.01639,26670.41736111,9132.742,0.002249726,357.242192,9.832813,90.0,2.5116,0
10.03333,26670.41805556,8903.907,0.002250438,358.017119,9.901141,90.0,2.4739,0
10.05,26670.41875,8673.971,0.002250397,358.823307,9.971554,90.0,2.4361,0
10.06639,26670.41944444,8442.979,0.002249535,359.662363,10.044158,90.0,2.3983,0
10.08333,26670.42013889,8210.983,0.002247771,0.536003,10.119067,90.0,2.3603,0
10.09972,26670.42083333,7978.042,0.002245021,1.446055,10.196404,90.0,2.3221,0
10.11667,26670.42152778,7744.222,0.002241191,2.394472,10.276298,90.0,2.2839,0
10.13306,26670.42222222,7509.597,0.002236178,3.383336,10.358889,90.0,2.2456,0
10.15,26670.42291667,7274.253,0.002229866,4.414872,10.444325,90.0,2.2072,0
10.16639,26670.42361111,7038.282,0.002222132,5.491453,10.532764,90.0,2.1687,0
10.18333,26670.42430556,6801.794,0.002212837,6.615614,10.624374,90.0,2.1302,0
