Time (hr),SRAM_TID,MCU_TID,LREG_TID,WDOG_TID,SRAM_SEL,MCU_SEFI,LREG_SEGR,MCU_SEL
62.38056,0.0,0.0,3.2585504340210125e-05,0.0,3.506089674143453e-08,3.5405089970907966e-10,8.133049789194047e-12,3.506088352978054e-08
62.44722,0.0,0.0,3.258550963725071e-05,0.0,3.2478003397784505e-08,3.283172622658981e-10,7.700950988009936e-12,3.247799096328663e-08
62.51361,0.0,0.0,3.25855147018661e-05,0.0,3.09244763130323e-08,3.127335057584446e-10,7.339129304284597e-12,3.092446421160133e-08
62.58028,0.0,0.0,3.25855198202718e-05,0.0,3.086285249587206e-08,3.119723368527616e-10,7.146172542604745e-12,3.086284028341879e-08
62.64722,0.0,0.0,3.258552529578074e-05,0.0,3.2276610495429736e-08,3.257937253309251e-10,7.071232488442547e-12,3.2276597838887255e-08
62.71389,0.0,0.0,3.258553151619381e-05,0.0,3.5421300226268215e-08,3.5659686314915007e-10,7.079559161127236e-12,3.542128657052501e-08
62.78028,0.0,0.0,3.258553917656615e-05,0.0,4.1551516005711164e-08,4.1662673311293474e-10,7.257416889672186e-12,4.1551500240544215e-08
62.84694,0.0,0.0,3.2585549634589484e-05,0.0,5.3160487345493834e-08,5.300069272351493e-10,7.716716154959613e-12,5.316046813863551e-08
62.91389,0.0,0.0,3.258556559548875e-05,0.0,7.459949269428279e-08,7.381142363982462e-10,8.486433777932234e-12,7.459946738119783e-08
62.98056,0.0,0.0,3.2585592888545456e-05,0.0,1.1490617934928338e-07,1.1259310150890656e-09,9.614420370951393e-12,1.1490614382214659e-07
63.04722,0.0,0.0,3.258564549762921e-05,0.0,1.9590322120066617e-07,1.897345613954826e-09,1.139899286073387e-11,1.959031680209833e-07
63.06389,0.0,0.0,3.25856612560238e-05,0.0,5.6771767287244757e-08,5.480945697300399e-10,2.9948266089263598e-12,5.6771752410256227e-08
63.08028,0.0,0.0,3.258567994279815e-05,0.0,6.506894156821375e-08,6.261335894208742e-10,3.1028513092223875e-12,6.506892524793528e-08
63.09722,0.0,0.0,3.258570335934463e-05,0.0,7.875963181636081e-08,7.553220271461214e-10,3.3884006711559778e-12,7.875961294256939e-08
63.11361,0.0,0.0,3.258573098396944e-05,0.0,8.968492193339728e-08,8.571275911251064e-10,3.473887844052115e-12,8.968490139427132e-08
63.13056,0.0,0.0,3.258576600428942e-05,0.0,1.0967858776744777e-07,1.0445053710839147e-09,3.818168003988376e-12,1.0967856389765274e-07
63.14694,0.0,0.0,3.2585807699547775e-05,0.0,1.2590425957359486e-07,1.1947034472825635e-09,3.933187109339542e-12,1.2590423359437608e-07
63.16389,0.0,0.0,3.258586110815864e-05,0.0,1.5542790188227684e-07,1.4694360173095333e-09,4.351741189623226e-12,1.5542787168421057e-07
63.18028,0.0,0.0,3.2585925315686826e-05,0.0,1.8001941715084513e-07,1.6955766790616167e-09,4.513056595101261e-12,1.800193842882436e-07
63.19722,0.0,0.0,3.2586008152368784e-05,0.0,2.2370075680733237e-07,2.09903494585717e-09,5.01831909360817e-12,2.2370071861566032e-07
63.21389,0.0,0.0,3.258611027451286e-05,0.0,2.655914621563227e-07,2.4825711486542446e-09,5.3297366520155265e-12,2.6559141996784774e-07
63.23028,0.0,0.0,3.258623646790193e-05,0.0,3.160566961479816e-07,2.9428826042732226e-09,5.6737947673468625e-12,3.1605664962963687e-07
63.24722,0.0,0.0,3.258640085246345e-05,0.0,3.965118590132377e-07,3.6776741652033706e-09,6.370015626089298e-12,3.965118055004879e-07
63.26361,0.0,0.0,3.258660178173667e-05,0.0,4.668609724367556e-07,4.313269186262403e-09,6.7169603212846596e-12,4.6686091492720294e-07
63.28056,0.0,0.0,3.258686479595818e-05,0.0,5.888528913366997e-07,5.41906941542436e-09,7.595812867577934e-12,5.888528256114967e-07
63.29694,0.0,0.0,3.258718723064824e-05,0.0,6.958033392789886e-07,6.378210737345569e-09,8.056444400494911e-12,6.95803269668005e-07
