Run,A,B,Z
2038,11989100.74185163,11446246.988758141,11446246.988758141
2039,10402293.170873323,1822213.5703963763,1822213.5703963763
2040,8878234.48280509,7814271.090653471,7814271.090653471
2041,8743522.031062081,5731741.611472915,5731741.611472915
2042,7611565.103763518,9220964.418728331,7611565.103763518
2043,10007618.142257702,3325126.035449228,3325126.035449228
2044,9562920.803862313,2271721.5483093034,2271721.5483093034
2045,12620982.190635277,11127176.839681782,11127176.839681782
2046,9219863.5798621,8326702.552144859,8326702.552144859
2047,10260121.627230112,17272404.811336365,10260121.627230112
2048,9955494.87969859,15828154.686373414,9955494.87969859
2049,10484665.581317551,23431882.626972485,10484665.581317551
2050,10728033.624487657,25944586.826971777,10728033.624487657
2051,11025537.216832237,6322073.192511483,6322073.192511483
2052,10461408.334965903,14260360.155860007,10461408.334965903
2053,8878766.3977585,2569387.9138898714,2569387.9138898714
2054,8881475.812860558,9780935.370582923,8881475.812860558
2055,10744536.382147543,15673548.714440422,10744536.382147543
2056,8546252.002154943,5486241.883974832,5486241.883974832
2057,9253971.464463625,4790811.0292655565,4790811.0292655565
2058,9683238.553443262,8111388.433001564,8111388.433001564
2059,11665933.9087807,4842497.34921779,4842497.34921779
2060,10413943.138663864,5832423.471769106,5832423.471769106
2061,9538263.007709142,21866127.890987284,9538263.007709142
2062,9049375.214906702,6996180.9047246585,6996180.9047246585
2063,9286768.559511052,5993223.37554914,5993223.37554914
2064,9196980.136529896,7687719.45548759,7687719.45548759
2065,9673364.917130468,4184526.0401683915,4184526.0401683915
2066,10406772.11380804,10122368.176162593,10122368.176162593
2067,10401795.298268542,9899439.38699751,9899439.38699751
2068,9546989.268535033,3000989.3133228854,3000989.3133228854
2069,11175824.765649749,10686418.503908824,10686418.503908824
2070,8765203.812304936,9483900.080064446,8765203.812304936
2071,10269270.815084945,734357.4972770206,734357.4972770206
2072,10908332.751679823,26376756.77626615,10908332.751679823
2073,9625658.839287188,8661146.107582683,8661146.107582683
2074,11223737.587481506,7657804.638227333,7657804.638227333
2075,11051109.208792675,1585696.8009159793,1585696.8009159793
2076,8794978.920939593,3357459.784254768,3357459.784254768
2077,10593058.938401092,5462930.487609921,5462930.487609921
2078,12253776.329188706,7903537.039889562,7903537.039889562
2079,10217147.795648595,8929.932683676636,8929.932683676636
2080,10960233.712459318,33325794.787939943,10960233.712459318
2081,9961390.302516915,1284774.1036878387,1284774.1036878387
2082,9957095.571918368,7766641.710698581,7766641.710698581
2083,7903107.4592434,22600283.882777862,7903107.4592434
2084,10659758.44822315,5659844.259279989,5659844.259279989
2085,9057563.336923016,10050358.700656215,9057563.336923016
2086,9594477.034866698,30973052.31185957,9594477.034866698
2087,11958379.415769825,342475.53631148837,342475.53631148837
2088,8683982.207515681,25153254.08347468,8683982.207515681
2089,8658016.853158258,5658812.512656184,5658812.512656184
2090,8735834.409487126,105417.57759446588,105417.57759446588
2091,8794291.827445224,24265174.19392908,8794291.827445224
2092,9914851.070950337,19675942.211950324,9914851.070950337
2093,10029330.697327761,28693141.699862286,10029330.697327761
2094,11738775.85092868,15231955.142847631,11738775.85092868
2095,9747073.578276511,27119774.70088087,9747073.578276511
2096,8824090.850579044,4922600.103901737,4922600.103901737
2097,8715911.534481745,1047526.1894638361,1047526.1894638361
2098,10925011.740116805,17561211.12729275,10925011.740116805
2099,11002012.978197854,18259512.685335085,11002012.978197854
2100,9715691.778432481,2372406.362791111,2372406.362791111
2101,10509521.991999982,23506099.57622639,10509521.991999982
2102,9835768.134343658,2318596.41243477,2318596.41243477
2103,8859193.754362341,31149436.828255776,8859193.754362341
2104,8762247.354477327,16376862.437957501,8762247.354477327
2105,10543067.963730656,16041382.541783208,10543067.963730656
2106,10837793.09106316,17712075.130493533,10837793.09106316
2107,10035683.911575835,24259655.442338824,10035683.911575835
2108,11199193.433632236,27979370.879906327,11199193.433632236
2109,10144160.03327274,9364614.504615026,9364614.504615026
2110,8870447.570205722,13435952.253315877,8870447.570205722
2111,10390214.23652471,23345637.1741774,10390214.23652471
2112,9773453.406350333,12402536.341096414,9773453.406350333
2113,9612894.068508333,7049234.925224549,7049234.925224549
2114,9044766.487374604,31610773.398123022,9044766.487374604
2115,9580176.86224585,328472.6100730084,328472.6100730084
2116,10837698.844936062,18371307.5708284,10837698.844936062
2117,9129001.55274011,15302958.975145165,9129001.55274011
2118,9531255.664510459,12033641.802362375,9531255.664510459
2119,8466786.995711667,5729170.055000766,5729170.055000766
2120,10351562.777078334,14234535.607340667,10351562.777078334
2121,9360035.962577645,1326602.7561859523,1326602.7561859523
2122,10693832.127150355,3929374.961056972,3929374.961056972
2123,8968086.384591531,11339332.962371971,8968086.384591531
2124,11048822.629442777,21813842.06036919,11048822.629442777
2125,10120439.729201498,33995519.288559616,10120439.729201498
2126,10169335.386244703,7603191.96979358,7603191.96979358
2127,8587743.729000164,3053943.2464975463,3053943.2464975463
2128,9576628.313075127,2794559.536434727,2794559.536434727
2129,9081584.900209125,31494665.273808464,9081584.900209125
2130,8656360.241043435,8180919.763769527,8180919.763769527
2131,9932147.988777088,24136541.85306733,9932147.988777088
2132,9045383.737396233,29407528.079020068,9045383.737396233
2133,9605055.36144481,18978614.058174964,9605055.36144481
2134,11600407.776947895,1952831.8042245994,1952831.8042245994
2135,10578480.393261053,773946.1033317598,773946.1033317598
2136,11151681.043328553,4758951.552652806,4758951.552652806
2137,8389394.062887901,23802216.49560988,8389394.062887901
2138,9538238.08675059,16059450.067757294,9538238.08675059
2139,11909907.493446043,31711982.552779764,11909907.493446043
2140,11116524.198190842,16972550.470317572,11116524.198190842
2141,8821779.113269333,8871375.771808904,8821779.113269333
2142,9498328.924014287,1717032.580297627,1717032.580297627
2143,9182828.264510272,27823922.928848907,9182828.264510272
2144,8765377.089851214,11884651.284592822,8765377.089851214
2145,8704324.641905865,5285731.939296563,5285731.939296563
2146,11511194.800516192,8729154.60263622,8729154.60263622
2147,12196219.094338007,19041524.893346284,12196219.094338007
2148,10072366.421508584,672190.700623266,672190.700623266
2149,9116966.746789565,15950809.172869934,9116966.746789565
2150,9532043.465119248,6729554.192341153,6729554.192341153
2151,9062979.103896772,31994525.933144916,9062979.103896772
2152,11067506.65544145,8432718.364890562,8432718.364890562
2153,11312379.0924875,1687201.766344264,1687201.766344264
2154,9811127.858306758,21835296.156522915,9811127.858306758
2155,10435633.568731338,496067.8008552685,496067.8008552685
2156,9924962.390578166,29165173.00337676,9924962.390578166
2157,9387496.718956731,7646739.835651432,7646739.835651432
2158,11243331.715057958,2074067.5261434587,2074067.5261434587
2159,9980023.280843198,6110137.955806129,6110137.955806129
2160,10879151.680500729,20932009.191161796,10879151.680500729
2161,8858797.037861688,1082589.698414034,1082589.698414034
2162,8602594.02065803,15262770.327778457,8602594.02065803
2163,9918480.35829091,30690880.448951736,9918480.35829091
2164,10292693.352925105,594565.0417609463,594565.0417609463
2165,9568405.060505524,3823436.0969570037,3823436.0969570037
2166,9034960.859080952,3775054.62785248,3775054.62785248
2167,9520882.453427212,10494304.31646692,9520882.453427212
2168,9973585.070465408,23354192.250365622,9973585.070465408
2169,8740409.07884655,14391093.902414598,8740409.07884655
2170,10545404.239147747,3307066.337113944,3307066.337113944
2171,10290362.715804217,28040813.141657673,10290362.715804217
2172,10136507.768176353,26519351.98955322,10136507.768176353
2173,9154834.79725764,31298688.370148964,9154834.79725764
2174,8827351.380000303,3725559.5306864316,3725559.5306864316
2175,9143728.166775424,6054681.832292112,6054681.832292112
2176,7982937.361948427,5942946.812703735,5942946.812703735
2177,9977070.03523809,5780169.079527522,5780169.079527522
2178,9493970.176014254,23457545.97314507,9493970.176014254
2179,9228207.890682306,8652642.851686483,8652642.851686483
2180,8858294.785487179,20573767.012027524,8858294.785487179
2181,9550285.442983761,225039.04065385144,225039.04065385144
2182,8941151.005451007,15795750.744357264,8941151.005451007
2183,7858368.429202939,33209759.654546387,7858368.429202939
2184,9177061.081924368,17231565.266596828,9177061.081924368
2185,10240690.837545644,31524156.98649673,10240690.837545644
2186,9284516.298802651,2246109.973182413,2246109.973182413
2187,8080082.255014366,7154619.188214795,7154619.188214795
2188,8551758.079162728,6774783.758785427,6774783.758785427
2189,8077730.363217145,7387948.048007818,7387948.048007818
2190,10282535.957100067,8856955.894658014,8856955.894658014
2191,8220444.1918496555,1808790.9469068127,1808790.9469068127
2192,8150536.388788628,27844352.5042813,8150536.388788628
2193,9715235.056835106,2152042.008769545,2152042.008769545
2194,9990828.491122343,7664078.054898717,7664078.054898717
2195,8358321.541431331,4913692.71811772,4913692.71811772
2196,10153298.001439134,4938817.118695631,4938817.118695631
2197,7995420.661018425,16000352.117789036,7995420.661018425
2198,8024881.560440289,28666273.272249132,8024881.560440289
2199,10000993.861731391,25437544.646202553,10000993.861731391
2200,8398645.116622811,6140487.001137483,6140487.001137483
2201,8193525.392627919,5232285.565998655,5232285.565998655
2202,9803127.734406104,15598817.104739044,9803127.734406104
2203,8427316.298547436,14762176.358263912,8427316.298547436
2204,9043977.593546743,16635884.30111443,9043977.593546743
2205,9735873.323105428,572029.0020155938,572029.0020155938
2206,9243694.640536549,7357178.608278631,7357178.608278631
2207,8335453.049012055,3412480.6318613966,3412480.6318613966
2208,8743415.886035012,13584883.134842204,8743415.886035012
2209,8699414.555357471,30877645.211681806,8699414.555357471
2210,8855093.674814455,4501200.202755715,4501200.202755715
2211,8771323.745348083,9781887.79607724,8771323.745348083
2212,8858725.581902778,10136917.287832463,8858725.581902778
2213,12422246.381888356,16384335.636515096,12422246.381888356
2214,9822875.823184814,32347032.549930394,9822875.823184814
2215,9009541.475895995,33761933.3767425,9009541.475895995
2216,9065483.20243738,27193497.281388182,9065483.20243738
2217,8962539.532159906,1546221.7983636498,1546221.7983636498
2218,8393941.935651712,27452262.699154112,8393941.935651712
2219,10091924.434900543,15846815.86649779,10091924.434900543
2220,8894210.470948733,10355470.656572824,8894210.470948733
2221,9291618.222998494,15703080.871329721,9291618.222998494
2222,9634648.397987006,3585996.6532987724,3585996.6532987724
2223,8516059.885504551,32938043.5500815,8516059.885504551
2224,9447181.107341278,382538.21698410885,382538.21698410885
2225,10981960.249266565,2753159.9793024817,2753159.9793024817
2226,9158858.490966858,4778109.908560976,4778109.908560976
2227,8706744.625225548,2212900.2033180855,2212900.2033180855
2228,9336338.51945456,20217447.767668594,9336338.51945456
2229,9208013.837163653,5849545.5397388805,5849545.5397388805
2230,9809578.45262724,4671531.363361496,4671531.363361496
2231,9672523.138225581,9377714.670139639,9377714.670139639
2232,10144282.329517879,18678779.180566236,10144282.329517879
2233,9236600.224710684,7588469.514776869,7588469.514776869
2234,9934400.977177551,1260568.108778301,1260568.108778301
2235,8183766.262597985,6358800.382191752,6358800.382191752
2236,11004826.157766271,24076697.543583743,11004826.157766271
2237,8602692.332688866,8055840.949584292,8055840.949584292
2238,10320354.080954751,17033442.905047156,10320354.080954751
2239,10078934.938945495,1473359.04537529,1473359.04537529
2240,10012909.930559374,6248715.266645822,6248715.266645822
2241,8191423.027627011,27454713.627776694,8191423.027627011
2242,10778480.804980017,1535449.876654975,1535449.876654975
2243,8929321.429461855,9568725.100583047,8929321.429461855
2244,10864246.746453682,14884074.07766451,10864246.746453682
2245,8687464.864806915,4522933.026904937,4522933.026904937
2246,9958982.208004206,3332291.167501484,3332291.167501484
2247,9266012.238489268,34516986.781498864,9266012.238489268
2248,10790068.854565816,33814879.34617688,10790068.854565816
2249,9543724.596252259,13624812.029455353,9543724.596252259
2250,9291495.74706899,14738627.233061891,9291495.74706899
2251,8181166.450365693,3344599.47811802,3344599.47811802
2252,9267515.999096846,17935517.875131823,9267515.999096846
2253,9373002.137195326,15960904.824472288,9373002.137195326
2254,9147204.433815815,23099300.95059985,9147204.433815815
2255,8714323.418687804,5305113.132251104,5305113.132251104
2256,10044582.77297376,853472.6858077096,853472.6858077096
2257,7163553.961324848,22009307.800031412,7163553.961324848
2258,8399197.85654421,2893142.4368932107,2893142.4368932107
2259,9414505.184570646,18092203.788132474,9414505.184570646
2260,9649646.906762347,8345064.109085716,8345064.109085716
2261,9560983.934602128,5540645.522125096,5540645.522125096
2262,10013463.606632954,16016776.448407954,10013463.606632954
2263,9848208.990906162,2837591.7342322413,2837591.7342322413
2264,9652693.47329743,4224720.263511955,4224720.263511955
2265,11703089.32779638,12902294.706371363,11703089.32779638
2266,10906589.302871866,6662867.9844121775,6662867.9844121775
2267,11930875.209970515,5870136.622890835,5870136.622890835
2268,10148064.14275439,9389832.36771584,9389832.36771584
2269,9931328.732873075,3817762.3135396033,3817762.3135396033
2270,9148359.921254039,20012542.67917118,9148359.921254039
2271,9130110.254938176,11561767.538540043,9130110.254938176
2272,9564710.96589094,14660217.429221306,9564710.96589094
2273,9310643.789196542,28780571.881397385,9310643.789196542
2274,11870636.42731924,1566343.048274579,1566343.048274579
