Time (s),dose,MCU_SEFI,SRAM_SEL,LREG_SEGR,MCU_SEL,DOSE (rad)
235848.0,,9.674074353153572e-05,0.010650464968346129,7.587916214532773e-06,0.011019621158277211,0.011084102498440615
235907.0,,8.49118972735024e-05,0.009337745977030458,6.651470457169176e-06,0.009661331693573869,0.009728712447455014
235968.0,,7.441311735901513e-05,0.008173948258465166,5.8203311052794765e-06,0.008457133673149654,0.00852845727479109
236027.0,,6.515317050880075e-05,0.0071485899786336805,5.087880167449346e-06,0.00739618577260277,0.007470608892155375
236088.0,,5.687244982411943e-05,0.006232631723581364,4.433900930531105e-06,0.00644844292633291,0.006524087112983674
236148.0,,4.960627575208986e-05,0.00542973312649726,3.861276175685797e-06,0.005617692405903283,0.005692165681358423
236207.0,,4.321426876302556e-05,0.004724155647937614,3.3588495334290645e-06,0.004887648978288141,0.004958524627150134
236268.0,,3.75634315376616e-05,0.004101036787183585,2.9159865708750777e-06,0.004242933408682979,0.004307970791967533
236327.0,,3.25901251794597e-05,0.0035532062424188326,2.5274606016731723e-06,0.003676125065061787,0.003733465009966424
236388.0,,2.8231976635941133e-05,0.003073655167760837,2.188113493161816e-06,0.0031799701352285843,0.00322824466576825
236447.0,,2.4395387953030462e-05,0.0026519649349288164,1.8903662050422202e-06,0.0027436870423376203,0.0027819618333350857
236508.0,,2.103476402681591e-05,0.002283019597296033,1.6303994479743792e-06,0.002361980652755189,0.0023898253896904105
236567.0,,1.8105141377969658e-05,0.0019617842721371117,1.4044629283643832e-06,0.0020296398478231274,0.002047093376033788
236628.0,,1.5540282166549756e-05,0.0016809076166232194,1.207204674640929e-06,0.0017390572606959657,0.001746469850316281
236688.0,,1.3313578936126945e-05,0.0014373946814291896,1.0363648937784751e-06,0.001487132794461781,0.0014852239127564049
236747.0,,1.136667950368245e-05,0.001224789712303131,8.872849022287969e-07,0.0012671862827067786,0.0012568254556539627
236808.0,,9.694945940557215e-06,0.0010425142989548587,7.594578195722243e-07,0.0010786181544108202,0.0010609663423171536
236867.0,,8.243818068782292e-06,0.0008845505832807113,6.485900220642471e-07,0.000915201838544669,0.0008914109216519053
236928.0,,6.98786113853208e-06,0.0007480706429836246,5.526476039093142e-07,0.0007740110830740073,0.0007452796618543958
236987.0,,5.90740468274271e-06,0.0006308798283344423,4.7006221078422226e-07,0.0006527749644157406,0.0006203081171243893
237048.0,,4.983249408985289e-06,0.0005308399169429275,3.99324370836544e-07,0.0005492811131664196,0.0005142334566273601
237107.0,,4.1873008253381996e-06,0.00044485936681588564,3.3826085225724383e-07,0.0004603310631161593,0.00042374750181538957
237168.0,,3.510629769553059e-06,0.0003719267905374147,2.861809939174607e-07,0.00038487844397679035,0.00034771166098139224
237228.0,,2.936808641108133e-06,0.0003102255887941727,2.4183118624268267e-07,0.0003210439627585534,0.00028411263628237303
237287.0,,2.449017332943506e-06,0.00025790703068290715,2.039237006163883e-07,0.000266915088435381,0.00023092386061448241
237348.0,,2.037904317621822e-06,0.00021393114153030448,1.7175479453667313e-07,0.00022141606097549323,0.00018694318036278326
237407.0,,1.6940139222379086e-06,0.00017724992518992544,1.446264123515227e-07,0.00018346289901814976,0.00015093670987469096
237468.0,,1.4054659590001144e-06,0.00014656279759333373,1.216518567018399e-07,0.00015171027992198235,0.00012143269005690165
237527.0,,1.1650434108568414e-06,0.00012107241496413606,1.0231051531974093e-07,0.00012533355039518945,9.747407969499935e-05
237588.0,,9.652735041234954e-07,9.995935324049912e-05,8.605768583265738e-08,0.0001034851779879234,7.810669770179123e-05
237647.0,,7.996628461637601e-07,8.251348794507721e-05,7.242009171393634e-08,8.543067572532869e-05,6.251112436911962e-05
237708.0,,6.62181546221235e-07,6.807913612972691e-05,6.095238023728976e-08,7.049182532513968e-05,4.995356574781524e-05
237768.0,,5.490219519937726e-07,5.62386858438674e-05,5.138492616560317e-08,5.8236733263938876e-05,3.9940395734220675e-05
237827.0,,4.553108336516104e-07,4.646697430829852e-05,4.3349318552236334e-08,4.812212883397892e-05,3.1915526520772526e-05
237888.0,,3.783140575707104e-07,3.8466080928720384e-05,3.664982185012492e-08,3.983988571254109e-05,2.5540295110179897e-05
237947.0,,3.146102981601791e-07,3.186968889773446e-05,3.1023015933932507e-08,3.301102329219939e-05,2.044410034073675e-05
238008.0,,2.619379357529359e-07,2.64348442231974e-05,2.6298168223495545e-08,2.7384208106471208e-05,1.6375884205770933e-05
238067.0,,2.1869149348482072e-07,2.1988382660998703e-05,2.2357285452595113e-08,2.2780321310447354e-05,1.3152567498519975e-05
238128.0,,1.830200975331631e-07,1.8333711058457393e-05,1.905443734364561e-08,1.899594940959439e-05,1.0587578855856867e-05
238187.0,,1.5347080939517854e-07,1.5316943780085252e-05,1.627390911841824e-08,1.5871860332697303e-05,8.538296286047705e-06
238248.0,,1.2906488891837032e-07,1.2834026609627599e-05,1.3939642182417114e-08,1.3300395009388796e-05,6.906139713552213e-06
