Time (hr),SRAM_TID,MCU_TID,LREG_TID,WDOG_TID,MCU_SEL,MCU_SEFI,LREG_SEGR,SRAM_SEL
4.8,0.0,0.0,0.0,0.0,4.824583251794579e-07,4.7774380007581385e-09,7.438273330606648e-10,4.60832037085801e-07
4.86667,0.0,0.0,0.0,0.0,4.76007767646891e-07,4.714481915968349e-09,7.345806185554693e-10,4.54673997674071e-07
4.93333,0.0,0.0,0.0,0.0,4.714732666499799e-07,4.670479558654961e-09,7.282681124820556e-10,4.503460968585671e-07
4.99972,0.0,0.0,0.0,0.0,4.652426264240006e-07,4.609635784191823e-09,7.193027284913001e-10,4.4439794399941945e-07
5.06639,0.0,0.0,0.0,0.0,4.632079165789449e-07,4.590287039363261e-09,7.167636484339823e-10,4.424574511219248e-07
5.13333,0.0,0.0,0.0,0.0,4.614913593492531e-07,4.574004952573318e-09,7.14651227085028e-10,4.4082054517780023e-07
5.2,0.0,0.0,0.0,0.0,4.5801672599043997e-07,4.539894349342433e-09,7.095146692392973e-10,4.375027867764558e-07
5.26639,0.0,0.0,0.0,0.0,4.528834802730586e-07,4.489663862905502e-09,7.020470871310636e-10,4.326019205080911e-07
5.33306,0.0,0.0,0.0,0.0,4.528326625896639e-07,4.489557947628953e-09,7.022641357323778e-10,4.3255489057258956e-07
5.4,0.0,0.0,0.0,0.0,4.534860100768867e-07,4.496275129994842e-09,7.03455516060103e-10,4.3317989295577064e-07
5.46667,0.0,0.0,0.0,0.0,4.5134781934130785e-07,4.475138037918214e-09,7.001853541410696e-10,4.311376846644066e-07
5.53333,0.0,0.0,0.0,0.0,4.5169193951810627e-07,4.4784661534791326e-09,7.006569768819304e-10,4.314660773108159e-07
5.59972,0.0,0.0,0.0,0.0,4.509814431896686e-07,4.471193970623233e-09,6.993855494741297e-10,4.3078652933736805e-07
5.66639,0.0,0.0,0.0,0.0,4.547437576496449e-07,4.5081158805970745e-09,7.049383299317924e-10,4.3437892727204996e-07
5.73333,0.0,0.0,0.0,0.0,4.5914671176205957e-07,4.551242271944034e-09,7.113749589393592e-10,4.3858272080754546e-07
5.8,0.0,0.0,0.0,0.0,4.604244151495962e-07,4.5632682077467734e-09,7.128783119370041e-10,4.398007783512625e-07
5.86639,0.0,0.0,0.0,0.0,4.6214838334002195e-07,4.579606582844065e-09,7.149891789737239e-10,4.4144470079388043e-07
5.93306,0.0,0.0,0.0,0.0,4.68207202786175e-07,4.63880422962859e-09,7.237327404041594e-10,4.472289275581076e-07
6.0,0.0,0.0,0.0,0.0,4.7449958029410766e-07,4.700244748967464e-09,7.327817241886692e-10,4.5323600128543973e-07
6.06667,0.0,0.0,0.0,0.0,4.771597619246393e-07,4.725655422532782e-09,7.36179450733232e-10,4.557734907262301e-07
6.13333,0.0,0.0,0.0,0.0,4.816082201930527e-07,4.768779815478297e-09,7.423330838918218e-10,4.6001916653715114e-07
6.19972,0.0,0.0,0.0,0.0,4.839708521719999e-07,4.791281149607585e-09,7.452863881596272e-10,4.6227269989707054e-07
6.26639,0.0,0.0,0.0,0.0,4.898968776201329e-07,4.849138757201388e-09,7.537759305620284e-10,4.6793025787472686e-07
6.33333,0.0,0.0,0.0,0.0,4.95089584218178e-07,4.8998610724382274e-09,7.612155350500416e-10,4.728879674509301e-07
6.4,0.0,0.0,0.0,0.0,4.953418221154138e-07,4.901870354068194e-09,7.611790087125314e-10,4.73127602318435e-07
6.46639,0.0,0.0,0.0,0.0,4.942946403296844e-07,4.891260840800271e-09,7.593056183807789e-10,4.72127192008287e-07
6.53306,0.0,0.0,0.0,0.0,4.959168590223939e-07,4.9073616281702925e-09,7.617296793327455e-10,4.7367783151397447e-07
6.6,0.0,0.0,0.0,0.0,4.956853775217596e-07,4.9054693640471214e-09,7.615404973293494e-10,4.734595234756611e-07
6.66667,0.0,0.0,0.0,0.0,4.894278027300913e-07,4.844337486709094e-09,7.523590639380018e-10,4.6748717175137955e-07
6.73333,0.0,0.0,0.0,0.0,4.828424423619637e-07,4.780392082182061e-09,7.429636905698089e-10,4.6120375418734483e-07
6.79972,0.0,0.0,0.0,0.0,4.719438451150637e-07,4.6742005821442945e-09,7.272389357382281e-10,4.508025776006619e-07
6.86639,0.0,0.0,0.0,0.0,4.62429367353856e-07,4.582175083811535e-09,7.139554503154955e-10,4.4172573498979517e-07
6.93333,0.0,0.0,0.0,0.0,4.5010047711180334e-07,4.4627362916216384e-09,6.966452970047499e-10,4.299628443282799e-07
7.0,0.0,0.0,0.0,0.0,4.3152793693934655e-07,4.2818065759675505e-09,6.6995142766757e-10,4.1223776625631814e-07
7.06639,0.0,0.0,0.0,0.0,4.1054898458625644e-07,4.077318704887034e-09,6.397389284984456e-10,3.9221555658830454e-07
7.13306,0.0,0.0,0.0,0.0,3.9076229840784293e-07,3.884926491615204e-09,6.115581374643853e-10,3.7333383773319184e-07
7.2,0.0,0.0,0.0,0.0,3.6883335385873295e-07,3.6713985185343745e-09,5.801366054214441e-10,3.5240648543766184e-07
7.26667,0.0,0.0,0.0,0.0,3.422440421063655e-07,3.41150363514231e-09,5.414039216944388e-10,3.2702676455720336e-07
7.33333,0.0,0.0,0.0,0.0,3.1604681061114803e-07,3.155330219328789e-09,5.031721705961445e-10,3.020211006843354e-07
7.39972,0.0,0.0,0.0,0.0,2.8800113682780903e-07,2.8803919249753562e-09,4.617950466467846e-10,2.7524783663412933e-07
7.46639,0.0,0.0,0.0,0.0,2.621917262191076e-07,2.6273583308977777e-09,4.2370074115893885e-10,2.50609850649397e-07
7.53333,0.0,0.0,0.0,0.0,2.3648990887803478e-07,2.3748356614561317e-09,3.854053742813335e-10,2.2607218330694678e-07
7.6,0.0,0.0,0.0,0.0,2.0967773362023934e-07,2.1104298308927127e-09,3.448158425456427e-10,2.0046960225172938e-07
7.66639,0.0,0.0,0.0,0.0,1.8427151571298594e-07,1.8592914985404718e-09,3.059544839700834e-10,1.762068420063656e-07
7.73306,0.0,0.0,0.0,0.0,1.6204480624004702e-07,1.6393063573261202e-09,2.717586156109064e-10,1.5497969574340686e-07
7.8,0.0,0.0,0.0,0.0,1.4138313897404942e-07,1.4342403931166814e-09,2.3958202088891767e-10,1.3524459097080666e-07
7.86667,0.0,0.0,0.0,0.0,1.2164676344017522e-07,1.2375750424453713e-09,2.0832346958599146e-10,1.1638920671686037e-07
7.93333,0.0,0.0,0.0,0.0,1.0452113441417055e-07,1.0665054395175844e-09,1.8090218212307718e-10,1.0002626804617165e-07
7.99972,0.0,0.0,0.0,0.0,8.913348359396167e-08,9.122501642977454e-10,1.558879691998527e-10,8.532116402282242e-08
8.06639,0.0,0.0,0.0,0.0,7.65373914246581e-08,7.857181572035188e-10,1.3520540242950574e-10,7.328306106391125e-08
8.13333,0.0,0.0,0.0,0.0,6.575981081891058e-08,6.77111589020285e-10,1.1725431736664405e-10,6.298149157757393e-08
8.2,0.0,0.0,0.0,0.0,5.6231108880311353e-08,5.80692272045269e-10,1.0110068338065048e-10,5.387162904657572e-08
8.26639,0.0,0.0,0.0,0.0,4.8392726825774446e-08,5.011326908999081e-10,8.76112515868499e-11,4.6377066076352946e-08
8.33306,0.0,0.0,0.0,0.0,4.2436028802050885e-08,4.4056513992529744e-10,7.721823180872889e-11,4.068236658660851e-08
8.4,0.0,0.0,0.0,0.0,3.7749925629881886e-08,3.9278602592673906e-10,6.888045689379396e-11,3.620299671158733e-08
8.46667,0.0,0.0,0.0,0.0,3.396597125782108e-08,3.5405089970907966e-10,6.196687607484819e-11,3.258651004589552e-08
8.53333,0.0,0.0,0.0,0.0,3.1457441429516564e-08,3.283172622658981e-10,5.717892825884974e-11,3.019193572928458e-08
8.59972,0.0,0.0,0.0,0.0,2.9946492396959457e-08,3.127335057584446e-10,5.400013769474299e-11,2.8753813663406902e-08
8.66639,0.0,0.0,0.0,0.0,2.9880383389802034e-08,3.119723368527616e-10,5.3181348214081936e-11,2.8702851095907533e-08
8.73333,0.0,0.0,0.0,0.0,3.124220726569149e-08,3.257937253309251e-10,5.455225160488908e-11,3.00245994733217e-08
8.8,0.0,0.0,0.0,0.0,3.427833350500009e-08,3.5659686314915007e-10,5.830580462884427e-11,3.2957809259492876e-08
8.86639,0.0,0.0,0.0,0.0,4.020145161209854e-08,4.1662673311293474e-10,6.606326596880763e-11,3.867134412693929e-08
8.93306,0.0,0.0,0.0,0.0,5.142894465848258e-08,5.300864192037125e-10,8.087142067125797e-11,4.949584064828372e-08
9.0,0.0,0.0,0.0,0.0,7.213114150417255e-08,7.38003991251901e-10,1.0733713917687737e-10,6.945463892904513e-08
9.06667,0.0,0.0,0.0,0.0,1.11094931920519e-07,1.1259310150890656e-09,1.545880090603191e-10,1.0702663522099698e-07
9.13333,0.0,0.0,0.0,0.0,1.8936222345722342e-07,1.897345613954826e-09,2.4380386598465975e-10,1.8251960520743182e-07
9.15,0.0,0.0,0.0,0.0,5.4873148691569895e-08,5.480945697300399e-10,6.919576023278751e-11,5.2896892643872206e-08
9.16639,0.0,0.0,0.0,0.0,6.28893409571063e-08,6.261335894208742e-10,7.762912535014266e-11,6.063192248273452e-08
9.18333,0.0,0.0,0.0,0.0,7.611726060563484e-08,7.553220271461214e-10,9.1939678092956e-11,7.339405905248952e-08
9.19972,0.0,0.0,0.0,0.0,8.667130868555972e-08,8.571275911251064e-10,1.0239942227485699e-10,8.358072944858463e-08
9.21667,0.0,0.0,0.0,0.0,1.0598746835732697e-07,1.0445053710839147e-09,1.224418344492051e-10,1.0222047275298962e-07
9.23306,0.0,0.0,0.0,0.0,1.217349355764341e-07,1.1954327527874398e-09,1.3747258886809277e-10,1.1742230665579001e-07
9.25,0.0,0.0,0.0,0.0,1.500928079600783e-07,1.468569155171906e-09,1.6564649651940044e-10,1.447926935016497e-07
9.26639,0.0,0.0,0.0,0.0,1.7393395912446152e-07,1.6955766790616167e-09,1.8756340924852566e-10,1.6781154521527952e-07
9.28333,0.0,0.0,0.0,0.0,2.1612785650049204e-07,2.09903494585717e-09,2.2769863772253984e-10,2.0854419979787764e-07
9.3,0.0,0.0,0.0,0.0,2.565878700622193e-07,2.4825711486542446e-09,2.640845320200924e-10,2.476124928429968e-07
9.31639,0.0,0.0,0.0,0.0,3.053277083386874e-07,2.9428826042732226e-09,3.0699309760962024e-10,2.9468007778366e-07
9.33333,0.0,0.0,0.0,0.0,3.830338355381713e-07,3.6776741652033706e-09,3.76254694067768e-10,3.6971647654482354e-07
9.34972,0.0,0.0,0.0,0.0,4.5097121958992403e-07,4.313269186262403e-09,4.3284487105665903e-10,4.3533791782568443e-07
9.36667,0.0,0.0,0.0,0.0,5.687860866743222e-07,5.41906941542436e-09,5.335291097807726e-10,5.491252857980911e-07
9.38306,0.0,0.0,0.0,0.0,6.72473519869321e-07,6.3821046225598366e-09,6.165890020781717e-10,6.492939160773759e-07
