Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,C,X,Z
16300000.0,20000.0,0.0023,46.0,37536.0,0.9999999510441411,0.66448882009136,0.7457307261078545,0.4955297302972814,0.9999999753032245
16320000.0,20000.0,0.0023,46.0,37582.0,0.999999954240378,0.664938103985001,0.753520408499142,0.5010444317414229,0.9999999771679817
16340000.0,20000.0,0.0023,46.0,37628.0,0.9999999572306225,0.6653867862414116,0.7611710809668168,0.5064731793444115,0.9999999788921651
16360000.0,20000.0,0.0023,46.0,37674.0,0.9999999600279601,0.6658348676662454,0.7686808963622715,0.5118145429069441,0.9999999804862315
16380000.0,20000.0,0.0023,46.0,37720.0,0.9999999626446581,0.666282349064078,0.7760482180477413,0.5170672297078409,0.9999999819598812
16400000.0,20000.0,0.0023,46.0,37766.0,0.9999999650922167,0.6667292312384068,0.783271617784539,0.5222300835763489,0.9999999833221114
16420000.0,20000.0,0.0023,46.0,37812.0,0.999999967381415,0.6671755149916538,0.7903498731749443,0.5273020836590818,0.9999999845812628
16440000.0,20000.0,0.0023,46.0,37858.0,0.9999999695223564,0.6676212011251661,0.7972819646779415,0.5322823428937196,0.999999985745068
16460000.0,20000.0,0.0023,46.0,37904.0,0.9999999715245097,0.6680662904392177,0.8040670722201988,0.5371701062024707,0.9999999868206917
16480000.0,20000.0,0.0023,46.0,37950.0,0.9999999733967483,0.6685107837330113,0.8107045714240317,0.5419647484186145,0.999999987814773
16500000.0,20000.0,0.0023,46.0,37996.0,0.999999975147387,0.6689546818046792,0.8171940294752709,0.5466657719603135,0.99999998873346
16520000.0,20000.0,0.0023,46.0,38042.0,0.9999999767842167,0.6693979854512846,0.8235352006541135,0.5512728042660829,0.9999999895824466
16540000.0,20000.0,0.0023,46.0,38088.0,0.9999999783145365,0.669840695468824,0.8297280215527594,0.5557855950068717,0.9999999903670047
16560000.0,20000.0,0.0023,46.0,38134.0,0.9999999797451845,0.6702828126522273,0.8357726060038151,0.560204013089919,0.9999999910920134
16580000.0,20000.0,0.0023,46.0,38180.0,0.9999999810825665,0.6707243377953607,0.8416692397438237,0.5645280434699008,0.9999999917619883
16600000.0,20000.0,0.0023,46.0,38226.0,0.9999999823326826,0.6711652716910264,0.8474183748361062,0.5687577837828433,0.9999999923811069
16620000.0,20000.0,0.0023,46.0,38272.0,0.9999999835011525,0.6716056151309655,0.8530206238775258,0.5728934408186657,0.9999999929532339
16640000.0,20000.0,0.0023,46.0,38318.0,0.9999999845932395,0.6720453689058591,0.85847675401335,0.5769353268480062,0.9999999934819439
16660000.0,20000.0,0.0023,46.0,38364.0,0.9999999856138722,0.6724845338053289,0.8637876807843335,0.5808838558190388,0.9999999939705417
16680000.0,20000.0,0.0023,46.0,38410.0,0.9999999865676661,0.6729231106179396,0.8689544618298801,0.5847395394399006,0.999999994422083
