Time (s),Altitude (km),L-shell,Dose Rate (rad/s),Total Dose (rad)
7500000.0,35786.0,6.75,0.0023,17296.0
7520000.0,35786.0,6.75,0.0023,17342.0
7540000.0,35786.0,6.75,0.0023,17388.0
7560000.0,35786.0,6.75,0.0023,17434.0
7580000.0,35786.0,6.75,0.0023,17480.0
7600000.0,35786.0,6.75,0.0023,17526.0
7620000.0,35786.0,6.75,0.0023,17572.0
7640000.0,35786.0,6.75,0.0023,17618.0
7660000.0,35786.0,6.75,0.0023,17664.0
7680000.0,35786.0,6.75,0.0023,17710.0
7700000.0,35786.0,6.75,0.0023,17756.0
7720000.0,35786.0,6.75,0.0023,17802.0
7740000.0,35786.0,6.75,0.0023,17848.0
7760000.0,35786.0,6.75,0.0023,17894.0
7780000.0,35786.0,6.75,0.0023,17940.0
7800000.0,35786.0,6.75,0.0023,17986.0
7820000.0,35786.0,6.75,0.0023,18032.0
7840000.0,35786.0,6.75,0.0023,18078.0
7860000.0,35786.0,6.75,0.0023,18124.0
7880000.0,35786.0,6.75,0.0023,18170.0
7900000.0,35786.0,6.75,0.0023,18216.0
7920000.0,35786.0,6.75,0.0023,18262.0
7940000.0,35786.0,6.75,0.0023,18308.0
7960000.0,35786.0,6.75,0.0023,18354.0
7980000.0,35786.0,6.75,0.0023,18400.0
8000000.0,35786.0,6.75,0.0023,18446.0
8020000.0,35786.0,6.75,0.0023,18492.0
8040000.0,35786.0,6.75,0.0023,18538.0
8060000.0,35786.0,6.75,0.0023,18584.0
8080000.0,35786.0,6.75,0.0023,18630.0
8100000.0,35786.0,6.75,0.0023,18676.0
8120000.0,35786.0,6.75,0.0023,18722.0
8140000.0,35786.0,6.75,0.0023,18768.0
8160000.0,35786.0,6.75,0.0023,18814.0
8180000.0,35786.0,6.75,0.0023,18860.0
8200000.0,35786.0,6.75,0.0023,18906.0
8220000.0,35786.0,6.75,0.0023,18952.0
8240000.0,35786.0,6.75,0.0023,18998.0
8260000.0,35786.0,6.75,0.0023,19044.0
8280000.0,35786.0,6.75,0.0023,19090.0
8300000.0,35786.0,6.75,0.0023,19136.0
8320000.0,35786.0,6.75,0.0023,19182.0
8340000.0,35786.0,6.75,0.0023,19228.0
8360000.0,35786.0,6.75,0.0023,19274.0
8380000.0,35786.0,6.75,0.0023,19320.0
8400000.0,35786.0,6.75,0.0023,19366.0
8420000.0,35786.0,6.75,0.0023,19412.0
8440000.0,35786.0,6.75,0.0023,19458.0
8460000.0,35786.0,6.75,0.0023,19504.0
8480000.0,35786.0,6.75,0.0023,19550.0
8500000.0,35786.0,6.75,0.0023,19596.0
8520000.0,35786.0,6.75,0.0023,19642.0
8540000.0,35786.0,6.75,0.0023,19688.0
8560000.0,35786.0,6.75,0.0023,19734.0
8580000.0,35786.0,6.75,0.0023,19780.0
8600000.0,35786.0,6.75,0.0023,19826.0
8620000.0,35786.0,6.75,0.0023,19872.0
8640000.0,35786.0,6.75,0.0023,19918.0
8660000.0,35786.0,6.75,0.0023,19964.0
8680000.0,35786.0,6.75,0.0023,20010.0
8700000.0,35786.0,6.75,0.0023,20056.0
8720000.0,35786.0,6.75,0.0023,20102.0
8740000.0,35786.0,6.75,0.0023,20148.0
8760000.0,35786.0,6.75,0.0023,20194.0
8780000.0,35786.0,6.75,0.0023,20240.0
8800000.0,35786.0,6.75,0.0023,20286.0
8820000.0,35786.0,6.75,0.0023,20332.0
8840000.0,35786.0,6.75,0.0023,20378.0
8860000.0,35786.0,6.75,0.0023,20424.0
8880000.0,35786.0,6.75,0.0023,20470.0
8900000.0,35786.0,6.75,0.0023,20516.0
8920000.0,35786.0,6.75,0.0023,20562.0
8940000.0,35786.0,6.75,0.0023,20608.0
8960000.0,35786.0,6.75,0.0023,20654.0
8980000.0,35786.0,6.75,0.0023,20700.0
9000000.0,35786.0,6.75,0.0023,20746.0
9020000.0,35786.0,6.75,0.0023,20792.0
9040000.0,35786.0,6.75,0.0023,20838.0
9060000.0,35786.0,6.75,0.0023,20884.0
9080000.0,35786.0,6.75,0.0023,20930.0
9100000.0,35786.0,6.75,0.0023,20976.0
9120000.0,35786.0,6.75,0.0023,21022.0
9140000.0,35786.0,6.75,0.0023,21068.0
