Time (s),A,B,Z
13700000.0,-0.3992920837445273,-9.735063036708791e-05,-0.9999352733238129
13720000.0,-0.3987609143678552,-9.212575012929047e-05,-0.9999388836906555
13740000.0,-0.3982302665822013,-8.717077553299646e-05,-0.9999422995235709
13760000.0,-0.39770014948233134,-8.247240044134685e-05,-0.9999455308762896
13780000.0,-0.3971705716709819,-7.801793692663317e-05,-0.9999485873092286
13800000.0,-0.3966415412814803,-7.37952887425175e-05,-0.9999514779121139
13820000.0,-0.39611306599942564,-6.979292581521523e-05,-0.9999542113256616
13840000.0,-0.39558515308345543,-6.59998597102307e-05,-0.9999567957623479
13860000.0,-0.3950578093851367,-6.240562005033201e-05,-0.9999592390263008
13880000.0,-0.39453104136801276,-5.900023185634318e-05,-0.9999615485323496
13900000.0,-0.3940048551258363,-5.577419377378323e-05,-0.9999637313242584
13920000.0,-0.39347925640001646,-5.271845716037227e-05,-0.9999657940921762
13940000.0,-0.39295425059631717,-4.982440600920235e-05,-0.9999677431893358
13960000.0,-0.3924298428008248,-4.708383767204616e-05,-0.9999695846480241
13980000.0,-0.39190603779522204,-4.4488944362153227e-05,-0.999971324194857
14000000.0,-0.3913828400713899,-4.203229540622466e-05,-0.9999729672653834
14020000.0,-0.39086025384536494,-3.9706820220919425e-05,-0.9999745190180442
14040000.0,-0.39033828307067875,-3.7505791989689286e-05,-0.9999759843475134
14060000.0,-0.38981693145110097,-3.5422812010521554e-05,-0.9999773678974425
14080000.0,-0.3892962024528127,-3.3451794699046467e-05,-0.9999786740726361
14100000.0,-0.3887760993160311,-3.158695321292537e-05,-0.9999799070506777
14120000.0,-0.3882566250661077,-2.982278568408603e-05,-0.9999810707930303
14140000.0,-0.3877377825241244,-2.8154062032381688e-05,-0.9999821690556334
14160000.0,-0.3872195743170014,-2.6575811337470334e-05,-0.999983205399013
14180000.0,-0.3867020028871456,-2.508330975248274e-05,-0.9999841831979318
14200000.0,-0.3861850705016515,-2.3672068934943447e-05,-0.9999851056505913
14220000.0,-0.38566877926107734,-2.2337824980178667e-05,-0.9999859757874101
14240000.0,-0.38515313110781213,-2.107652782989966e-05,-0.9999867964793924
14260000.0,-0.38463812783405393,-1.988433114896715e-05,-0.9999875704461076
14280000.0,-0.3841237710894093,-1.8757582639805648e-05,-0.9999883002632924
14300000.0,-0.38361006238814155,-1.7692814788694555e-05,-0.9999889883700992
14320000.0,-0.3830970031160684,-1.6686736018067805e-05,-0.9999896370759972
14340000.0,-0.38258459453713844,-1.5736222233941888e-05,-0.999990248567349
14360000.0,-0.3820728377996899,-1.4838308751041751e-05,-0.9999908249136717
14380000.0,-0.3815617339424112,-1.3990182579970423e-05,-0.9999913680735993
14400000.0,-0.3810512839000143,-1.3189175062433556e-05,-0.9999918799005573
14420000.0,-0.38054148850863456,-1.2432754839974969e-05,-0.9999923621481641
14440000.0,-0.3800323485109678,-1.1718521141901306e-05,-0.9999928164753704
14460000.0,-0.37952386456116016,-1.1044197384069143e-05,-0.99999324445135
14480000.0,-0.3790160372294551,-1.0407625053665548e-05,-0.9999936475601487
14500000.0,-0.37850886700661623,-9.806757884534001e-06,-0.999994027205109
14520000.0,-0.37800235430813045,-9.239656296067267e-06,-0.9999943847130742
14540000.0,-0.37749649947820385,-8.704482093113697e-06,-0.9999947213383868
14560000.0,-0.3769913027935602,-8.199493413130199e-06,-0.9999950382666881
14580000.0,-0.37648676446704943,-7.723039909368623e-06,-0.9999953366185285
14600000.0,-0.3759828846510771,-7.273558161546845e-06,-0.9999956174527983
14620000.0,-0.3754796634408618,-6.849567303457427e-06,-0.9999958817699871
14640000.0,-0.37497710087752734,-6.449664856522652e-06,-0.9999961305152776
14660000.0,-0.3744751969510417,-6.072522763411747e-06,-0.9999963645814857
14680000.0,-0.3739739516030045,-5.716883609396817e-06,-0.9999965848118502
